% x(i), z(i), f(m), real(u(i)), imag(u(i)), abs(u(i))
 -0.500000E+001 -0.500000E+001  0.474000E+001  0.521056E-003 -0.117839E-002  0.128845E-002
 -0.500000E+001 -0.500000E+001  0.476000E+001  0.147824E-002 -0.103214E-002  0.180292E-002
 -0.500000E+001 -0.500000E+001  0.478000E+001  0.191917E-002 -0.677350E-003  0.203519E-002
 -0.500000E+001 -0.500000E+001  0.480000E+001  0.237741E-002  0.703264E-003  0.247925E-002
 -0.500000E+001 -0.500000E+001  0.482000E+001  0.202897E-002  0.169892E-002  0.264633E-002
 -0.500000E+001 -0.500000E+001  0.484000E+001  0.125122E-002  0.241600E-002  0.272077E-002
 -0.500000E+001 -0.500000E+001  0.486000E+001  0.355017E-003  0.195899E-002  0.199090E-002
 -0.500000E+001 -0.500000E+001  0.488000E+001 -0.128002E-002  0.236980E-002  0.269340E-002
 -0.500000E+001 -0.500000E+001  0.490000E+001 -0.141026E-002  0.170857E-002  0.221542E-002
 -0.500000E+001 -0.500000E+001  0.492000E+001 -0.184982E-002  0.968728E-003  0.208813E-002
 -0.500000E+001 -0.500000E+001  0.494000E+001 -0.194551E-002  0.171027E-003  0.195301E-002
 -0.500000E+001 -0.500000E+001  0.496000E+001  0.215597E-001 -0.526153E-001  0.568611E-001
 -0.500000E+001 -0.500000E+001  0.498000E+001 -0.641674E-002 -0.958621E-003  0.648795E-002
 -0.500000E+001 -0.500000E+001  0.500000E+001  0.906389E-004 -0.522153E-002  0.522232E-002
 -0.500000E+001 -0.500000E+001  0.502000E+001  0.265479E-002 -0.693837E-003  0.274396E-002
 -0.500000E+001 -0.500000E+001  0.504000E+001  0.453007E-003  0.123129E-002  0.131198E-002
 -0.500000E+001 -0.500000E+001  0.506000E+001 -0.129933E-002  0.930514E-004  0.130266E-002
 -0.500000E+001 -0.500000E+001  0.508000E+001 -0.950607E-003 -0.166553E-002  0.191772E-002
 -0.500000E+001 -0.500000E+001  0.510000E+001  0.644639E-003 -0.226811E-002  0.235794E-002
 -0.500000E+001 -0.500000E+001  0.512000E+001  0.208083E-002 -0.147672E-002  0.255158E-002
 -0.500000E+001 -0.500000E+001  0.514000E+001  0.266717E-002  0.372385E-003  0.269304E-002
 -0.500000E+001 -0.500000E+001  0.516000E+001  0.203312E-002  0.167553E-002  0.263457E-002
 -0.500000E+001 -0.500000E+001  0.518000E+001  0.853980E-003  0.225415E-002  0.241049E-002
 -0.500000E+001 -0.500000E+001  0.520000E+001 -0.905569E-003  0.175500E-002  0.197486E-002
 -0.500000E+001 -0.500000E+001  0.522000E+001 -0.111607E-002  0.108333E-002  0.155538E-002
 -0.500000E+001 -0.500000E+001  0.524000E+001 -0.116767E-002  0.219710E-003  0.118816E-002
 -0.500000E+001 -0.500000E+001  0.526000E+001 -0.733474E-003 -0.406168E-003  0.838425E-003
 -0.500000E+001 -0.500000E+001  0.528000E+001 -0.702145E-004 -0.601925E-003  0.606007E-003
